scaler_type,tau,omega_l2_reg,train_nll_final,eval_nll_learned,eval_nll_baseline,eval_nll_global,nll_improvement,nll_improvement_vs_global,omega_reg_term,omega_0_SYS_MEAN,omega_1_SYS_STD
none,1.0,0.0,18.762224197387695,12.366292069904562,60040.35265485416,13.217167519804226,60027.98636278426,0.8508754498996645,0.0,0.009999999776482582,0.009999999776482582
none,1.0,0.01,18.762224197387695,12.366292069904562,60040.35265485416,13.217167519804226,60027.98636278426,0.8508754498996645,0.01960200071334839,0.009999999776482582,0.009999999776482582
none,1.0,0.1,18.762224197387695,12.366292069904562,60040.35265485416,13.217167519804226,60027.98636278426,0.8508754498996645,0.1960200071334839,0.009999999776482582,0.009999999776482582
none,1.0,1.0,18.762224197387695,12.366292069904562,60040.35265485416,13.217167519804226,60027.98636278426,0.8508754498996645,1.9602000713348389,0.009999999776482582,0.009999999776482582
none,1.0,0.001,18.762224197387695,12.366292069904562,60040.35265485416,13.217167519804226,60027.98636278426,0.8508754498996645,0.001960200257599354,0.009999999776482582,0.009999999776482582
none,2.0,0.0,18.58169937133789,12.009508665970353,19171.63600510957,13.217167519804226,19159.626496443598,1.2076588538338733,0.0,0.009999999776482582,0.009999999776482582
none,2.0,0.001,18.58169937133789,12.009508665970353,19171.63600510957,13.217167519804226,19159.626496443598,1.2076588538338733,0.001960200257599354,0.009999999776482582,0.009999999776482582
none,2.0,0.01,18.58169937133789,12.009508665970353,19171.63600510957,13.217167519804226,19159.626496443598,1.2076588538338733,0.01960200071334839,0.009999999776482582,0.009999999776482582
none,2.0,0.1,18.58169937133789,12.01193926386487,19171.63600510957,13.217167519804226,19159.624065845703,1.2052282559393568,0.1960200071334839,0.017884865403175354,0.009999999776482582
none,2.0,1.0,18.700733184814453,12.042880581451733,19171.63600510957,13.217167519804226,19159.593124528117,1.174286938352493,1.7776503562927246,0.10717842727899551,0.009999999776482582
none,5.0,0.01,18.574007034301758,12.015709950968963,6003.619541756946,13.217167519804226,5991.603831805977,1.201457568835263,0.018672306090593338,0.03887906298041344,0.02799643762409687
none,5.0,0.1,18.575027465820312,12.015774837019217,6003.619541756946,13.217167519804226,5991.603766919927,1.2013926827850092,0.18495334684848785,0.048705484718084335,0.02722783572971821
none,5.0,1.0,18.970014572143555,12.143244832376165,6003.619541756946,13.217167519804226,5991.47629692457,1.0739226874280607,1.0632069110870361,0.6922492384910583,0.01614726334810257
none,5.0,0.0,18.52212142944336,13.374922107129535,6003.619541756946,13.217167519804226,5990.244619649817,-0.157754587325309,0.0,0.009999999776482582,0.14965559542179108
none,5.0,0.001,18.522369384765625,13.520094760159864,6003.619541756946,13.217167519804226,5990.099446996786,-0.302927240355638,0.0016842950135469437,0.009999999776482582,0.16052718460559845
