gen_id,gen_type,Z_row_sum_mean,Z_row_sum_std,Z_row_sum_min,Z_row_sum_max,Z_row_abs_sum_mean,Z_row_abs_sum_max,Z_row_norm_mean,Z_row_norm_max
101_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,-0.0023704641298482876,0.0033132149418331606,-0.011544869789545224,0.0006446487868957601,0.0024706905243568264,0.011544869789545224,0.0012893737383816105,0.006903309609391917
101_STEAM_4,THERMAL,-0.002366684650809038,0.0033327798135157783,-0.01170676582913227,0.000644648786898881,0.002466912568671691,0.01170682121295524,0.0012879417780110411,0.007000953507432281
102_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_STEAM_3,THERMAL,-0.02958111190024633,0.04383689511401403,-0.19288079066165253,0.008938720627226556,0.036366995418108145,0.20934607788729775,0.02054743666420148,0.14393973712906027
102_STEAM_4,THERMAL,-0.028666500453827928,0.044079583229081044,-0.19305105838909914,0.008938720627226556,0.03545306237582625,0.20953689344896348,0.020103687479955015,0.1440687705585559
107_CC_1,THERMAL,-0.04539520607015737,0.10927720909600179,-0.31377076123885195,0.19016413356108433,0.07354326141314022,0.31377076123885195,0.03701560296147354,0.15688538116909376
113_CT_1,THERMAL,-0.001411567799859687,0.005926295989259936,-0.027622940394113032,1.0415713430633744e-14,0.0014115677998602658,0.027622940394113032,0.0007057839021601078,0.013811470258095744
113_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,-0.0011594070844658602,0.0051891986770147315,-0.028609057227478262,0.0,0.0011594070844658602,0.028609057227478262,0.0005797368017749386,0.01430452867698574
115_STEAM_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,-0.02059588700677739,0.045219752916400686,-0.11655065227859142,0.13559597500847834,0.0327540322420923,0.13559597500847834,0.016594237202939524,0.0677979875773003
116_STEAM_1,THERMAL,-0.027510764185519072,0.0507664428551275,-0.16783380162514683,0.10463475310217638,0.038651202594253725,0.16783380162514683,0.019694474633910927,0.08391690091220334
118_CC_1,THERMAL,-0.028124928252346845,0.09146511360566,-0.37784860020639277,0.26815807815112713,0.053138202171875044,0.37784860020639277,0.02663751822339217,0.18892430127084223
122_WIND_1,WIND,0.48609670683807404,0.5339778051266364,-1.4769035964930566,0.9999999982183082,0.744979484932282,1.9247988229528914,0.6497326578300258,1.2661370896544635
123_CT_1,THERMAL,-0.002029228470263122,0.006945745465282855,-0.030528239757913776,0.0,0.002029228470263122,0.030528239757913776,0.0010146142375824418,0.015264119906415814
123_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,-0.002932566739502255,0.008538551580644956,-0.03098252910238225,0.0,0.002932566739502255,0.03098252910238225,0.0014662833728900334,0.015491264576304838
123_STEAM_2,THERMAL,-0.02078397729678462,0.05217686147907219,-0.127909585506926,0.13547326729479978,0.03857363739169886,0.13547326729479978,0.019507895791938398,0.06773663371699853
123_STEAM_3,THERMAL,-0.06567779624485531,0.09121290480978077,-0.3593187037775447,0.06313258999499505,0.0720236822873073,0.3593187037775447,0.03630983852056853,0.17965935225195084
201_CT_1,THERMAL,0.00034803265202109013,0.0020881959121265407,0.0,0.012529175472759245,0.00034803265202109013,0.012529175472759245,0.00017401632710337424,0.006264587775721473
201_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201_STEAM_3,THERMAL,-0.00785051268019264,0.02849817010573877,-0.05665216058565346,0.08387994455165355,0.01996375346301979,0.08387994455165355,0.010179026862570056,0.04193997232641268
202_CT_1,THERMAL,2.3120912495523517e-16,9.66824440628647e-16,0.0,4.170275236248244e-15,2.3120912495523517e-16,4.170275236248244e-15,1.4165016052901287e-16,2.5523907965146862e-15
