method,alpha_target,param,coverage,gap,q_hat_mean,q_hat_std
binned,0.95,,0.9308943089430894,0.019105691056910512,1.0115438642908001,0.0
feature_kernel,0.95,2.0,0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
feature_kernel,0.95,5.0,0.9932203389830508,0.04322033898305089,5.785509040885584,1.6358656740282265
time_exponential,0.95,14.0,0.964406779661017,0.014406779661017,1.3374176962826785,0.8666941682710719
time_exponential,0.95,30.0,0.9627118644067797,0.012711864406779738,1.148055228731363,0.7676390495092783
time_exponential,0.95,60.0,0.9559322033898305,0.0059322033898305815,1.0942745759681702,0.7556705866872969
time_window,0.95,14.0,0.9610169491525423,0.011016949152542366,1.4961549556421316,1.138707403012771
time_window,0.95,30.0,0.9525423728813559,0.0025423728813559476,1.239640836117499,0.8666872377642413
time_window,0.95,60.0,0.9610169491525423,0.011016949152542366,1.1149025179216028,0.71303145045058
combined,0.95,"τ=2.0,hl=14.0",0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
combined,0.95,"τ=2.0,hl=30.0",0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
combined,0.95,"τ=2.0,hl=60.0",0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
combined,0.95,"τ=5.0,hl=14.0",0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
combined,0.95,"τ=5.0,hl=30.0",0.9966101694915255,0.04661016949152552,6.26029685135084,0.5339234301028979
combined,0.95,"τ=5.0,hl=60.0",0.9966101694915255,0.04661016949152552,6.23177599039397,0.6641913857564807
