RESOURCEASSETNAME,LATITUDE,LONGITUDE
CSWS.WRWE.EAST,35.21666,-98.97016
NPPD.LES.PRBRZ,41.89365,-97.94972
WAUE.BEPM.AURORA,48.50225,-103.1368
OKGE.TNDR.THUNDERRANCH2,36.54808,-97.25935
CSWS.AECC.DRIFTSAND,34.83194,-97.94223
WR.GSEC.DIAMONDVIST,38.56666,-97.18572
SECI.UCU.ENSIGNWIND,39.7278,-94.8786
WR.KCW,36.91405,-97.20406
WFEC.BSWF.BSWF,36.53006,-99.29995
CANADIAN_HILLS_1,35.62972,-98.02462
BUFFALO_DUNES_WIND,37.63827,-101.0963
OKGE.TRWE.TRWE2,35.72771,-97.79318
NPPD.LCE.PLMCK,42.17295,-97.28039
NPPD.EAGL.MILL,40.5046,-97.2182
SPS.GGPO.STOCKYARD7_8,36.051,-101.841
MPS.PRATT,37.51822,-98.76034
OKGE.ETEC.GCW,36.8873,-97.7205
SPS.BONITA.WILDCAT.WND,33.5094,-102.9555
WAUE.NWPS.AUR,43.7311,-98.7643
WR.MWE1.MARSHALLWIND,39.82471,-96.37114
WR.MW.SMOK2.CU,38.8207,-97.6068
SECI.SUEZ.ISTR,37.65262,-100.1436
WR.AEPE.FLATRIDGE3,37.4744,-98.4619
SPS.ROSVELTWND,33.9,-103.6
OKGE.GDSM.MINCO4,35.50127,-98.46753
SPS.SJUANWIND1,34.1815,-103.3427
WR.FRW.1,37.2137,-98.55813
SECI_CIMARRON,38.84816,-100.308
WAUE.LCE.WILCK,44.82698,-103.2091
SPS.HALE.WND,33.94849,-101.662
SPS.HMWI.HMWI,35.26829,-101.1999
SPS.GPWA.GPWA,36.2615,-101.508
SPS.CAPRKWND1,35.17704,-103.6568
WFEC.MVWP.MVWP,36.05795,-97.95403
OKGE.TRWE.TRWE,35.72771,-97.79318
NPPD.HYST.HYST,42.23015,-97.21462
CANADIAN_HILLS_5,35.62972,-98.02462
WAUE.BEPM.WILTON1,47.12091,-100.7159
EDE_MWW,39.49828,-97.69761
OKGE.AECC.CHISHOLM2,36.51056,-97.66006
CSWS.RSPA.RUSHSPRWNDA,34.6977,-97.8153
WFEC.PEOP.LELK,35.2005,-98.91633
OKGE_ORIGINWIND,34.41733,-97.25404
SECI.KACY.CIM,37.37102,-99.99407
OKGE.LES.ARBKL,34.391,-97.161
SECI.SUEZ.EFRK,39.3161,-100.864
SPS.GBTL.BETHEL,34.0737,-102.4669
WAUE.AWD1.AURAWIND,48.50225,-103.1369
WAUE.SLWF.SLWF,44.245,-98.4841
WR.SPRM.ETNADVISTA,38.56666,-97.18572
SECI.BLOO.CPBLOOM,37.29317,-100.0043
WAUE.BEPM.BRADY1,40.0,-100.0
DEMPSEY_RIDGE_WIND,35.64081,-99.68884
OKGE.FRT2.FRT2,36.82487,-97.03011
NPPD.OPPD.SHOL,42.3119,-97.3409
SPS.ORPLPRN1_2,35.9511,-101.5342
SECI.UCU.GRAYWIND,37.59645,-100.4417
SECI_SMOKY,38.89159,-98.17059
OKGE.WSNR.WSNR,36.4264,-99.4024
MKEC_KPP_GBURG,37.66364,-99.38077
NPPD.MEAN.CTWD3SSCY,40.28444,-98.40635
OKGE.GGWT.GREATWESTERN,36.16306,-99.58667
WR.KMW.1,37.5355,-98.2619
OKGE.SDWE.SDWE,36.37559,-98.42735
WR.PRW.GEN,38.84,-98.32833
WFEC_WILDCAT_WIND_FARM,32.75012,-103.195
WAUE.BEPM.BALDWIN,47.09897,-100.7016
OPPD_INV_PRZ1,41.93,-98.083
NPPD_LAREDO,41.85293,-98.15321
WAUE.BEPM.SUPERIOR,43.45,-94.98
WAUE.BEPM.HYDECOUNTY,44.35984,-99.47578
OKGE_CHISHOLM,36.57563,-97.69637
NPPD.BRPS.CTNWD,40.28444,-98.40635
MIDW.KMEA.BKEYE,38.97549,-99.41747
NPPD.OPPD.CTNWDBTRC,40.28444,-98.40635
WFEC_RKYRIDGE_WIND_FARM,35.1294,-99.00095
WAUE.BEPM.PREVAIL,43.05509,-97.57868
NPPD_STLFTW,40.03699,-96.99284
SPS.PLSNTHLWND,33.7441,-101.4839
WAUE.BEPM.CROSSWINDS,43.07,-94.896
WR.WPW,37.8647,-99.6457
WAUE.BEPM.DAYCOUNTY1,45.21087,-97.89263
SPS.GGPO.STOCKYARD9,35.961,-101.81
NPPD_ELKHNWIND,42.64586,-97.68804
OKGE.WFEC.MINCO4WIND,35.41359,-98.32614
OKGE.PCW1.PCW1,36.18059,-99.34524
OKGE.PNDA.PNDA,36.5575,-100.6677
MPS.AMUE.OUTLAW,40.53946,-95.29068
SPS.WTAMWIND,35.961,-101.81
OKGE.BALKO.WIND.1,36.52073,-100.8652
SECI.GCMB.CIMARRONBEND1,37.37102,-99.99407
WR_FLATRIDGE2SWPCO2,37.37127,-98.23849
WAUE.NWPS.BEETHOVEN,43.0823,-97.58093
OKGE.TRWE.TRWE3,35.72771,-97.79318
OMPA_WIND_FARM,36.4264,-99.4024
WAUE.HCPD.WESS,44.00027,-98.59099
SPS.LCEC.STERLINGWIND,33.36827,-103.2645
WFEC_BALKO_WIND_FARM,36.5196,-100.85
OKGE.SWCV.CV,36.57563,-97.69637
WR.MWW,39.49828,-97.69761
WAUE.BEPM.LINDAHL,40.0,-100.0
NPPD.THWE.THW2,42.3755,-98.1217
OKGE_MINCO2,35.28782,-97.98851
MIDW.NJAL.ALEX,38.253,-99.3251
WAUE.NWPS.OTE,44.54214,-97.44202
NPPD.FREM.CTNWD1,40.29433,-98.51396
MIDW.KACY.ALEX,38.25289,-99.30273
OKGE.AFGE.AFNEM1,36.3186,-97.5869
GOODWELL_WIND,36.51665,-101.6379
WAUE.CRK1.CROCKER,45.12874,-97.80158
SPS.SWBD.BD,37.63827,-101.0963
WR_FLATRIDGE2SWPCO1,37.37127,-98.23849
WAUE.SUEZ.TPLH,44.42787,-99.51503
EDE.NEOSHORDGE,37.48536,-95.37673
INDN_MWE_SMKY2,38.8207,-97.6068
WAUE.BEPM.CROWLAKE,43.88639,-98.7875
WAUE.BEPM.BRADY2,46.83933,-102.0748
SPS.GGPO.STOCKYARD5_6,36.455,-101.845
WR.JAYHAWK,37.4216,-94.5925
WAUE.BEPM.NTHBNDWND,44.32922,-99.604
OKGE.WR.PCWF,36.17522,-99.34957
WR.FLATRIDGE3,37.4744,-98.4619
OKGE.HHW.HORIZON,35.9851,-97.6136
CSWS.ELK2.ELKCITY2,35.42542,-99.4695
