gen_id,gen_type,Z_row_sum_mean,Z_row_sum_std,Z_row_sum_min,Z_row_sum_max,Z_row_abs_sum_mean,Z_row_abs_sum_max,Z_row_norm_mean,Z_row_norm_max
101_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101_STEAM_3,THERMAL,-0.002626202970849659,0.13995235727779237,-0.28420282270060154,0.6911571288904734,0.13255085724964477,1.4864242794347065,0.08619835443476336,0.9021351609146685
101_STEAM_4,THERMAL,-0.02466850880399909,0.1499819186851079,-0.753012836420774,0.20781840958937098,0.14100309416631246,1.4862446955945008,0.08892639488732833,0.9143805083596939
102_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102_CT_2,THERMAL,0.0008686897503775294,0.005212138502265177,0.0,0.03127283101359106,0.0008686897503775294,0.03127283101359106,0.00043434606207286747,0.01563645823462323
102_STEAM_3,THERMAL,-0.07018202983203835,0.08650955326603507,-0.3763543679574746,0.0,0.07021038434266304,0.3763543679574746,0.0367839790991363,0.20293655866078641
102_STEAM_4,THERMAL,-0.06906564201029844,0.08797301554848581,-0.37635639467356674,0.0,0.0720332582475966,0.37635639467356674,0.0370652300107111,0.20293783581000277
107_CC_1,THERMAL,-0.06634707151779293,0.526564938957426,-1.0345905418370462,2.6730087339973796,0.2764713706308498,4.827336982625853,0.1474998642769355,2.6062795762676263
113_CT_1,THERMAL,-1.607356223429532e-14,4.127877808895407e-14,-1.376676550535194e-13,0.0,2.5177391036221605e-14,4.072298054325074e-13,2.2015167195825793e-14,2.9338974717825816e-13
113_CT_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_3,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_2,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115_STEAM_3,THERMAL,-0.07269817358637619,0.11598753774151226,-0.4431018574699548,2.8759554230907403e-08,0.07269817678479477,0.4431018574699548,0.03642114309483874,0.22155092926213132
116_STEAM_1,THERMAL,-0.19314714345929887,0.28682652217634524,-1.3189313083270338,0.0,0.23938022159209668,1.8983435045675723,0.12781746768321145,1.0197749002890968
118_CC_1,THERMAL,-0.040177040898181915,0.40458289797941005,-0.8549814710322228,1.7597298017022303,0.1908421803126402,1.7597298017022303,0.1003258297167958,0.8898748397381445
122_WIND_1,WIND,0.6666666666666666,0.47809144373375745,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0
123_CT_1,THERMAL,-1.7270135938613546e-15,1.0362081563168129e-14,-6.217248937900877e-14,0.0,7.648203058528856e-15,2.753353101070388e-13,5.544257658959947e-15,1.995932757225581e-13
123_CT_4,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_CT_5,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123_STEAM_2,THERMAL,-0.0953312157095908,0.1532134971106951,-0.6540838072479966,3.913561526800998e-08,0.12285912112380681,1.4134097938968733,0.06406002350618538,0.7990149672406559
123_STEAM_3,THERMAL,-0.31742698781848067,0.5779170411712202,-2.888848774510051,0.0,0.45472074232368453,4.594187795249473,0.24375794160476408,2.449678841690187
201_CT_1,THERMAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201_CT_2,THERMAL,-0.0008168896870622272,0.004901338122373363,-0.02940802873424018,0.0,0.0008168896870622272,0.02940802873424018,0.0004084448453247721,0.014704014431691795
201_STEAM_3,THERMAL,-0.060384122990722836,0.09985252887447163,-0.42184525510113635,6.195911878657821e-07,0.06069466344124509,0.42184525510113635,0.03170558853971555,0.24577833501508836
202_CT_1,THERMAL,6.245004513516506e-17,3.747002708109903e-16,0.0,2.248201624865942e-15,6.245004513516506e-17,2.248201624865942e-15,3.812300880866505e-17,1.3724283171119418e-15
202_CT_2,THERMAL,-0.0008059173161598493,0.004835503896959096,-0.029013023381754578,0.0,0.0008059173161598493,0.029013023381754578,0.0004029586598518237,0.014506511754665654
